,Twit,Tag,Num,Nombre
30,"#VillaMaria 17:00 hs | Temp 32.4°C Min=21.0°C (05:16) Max=32.4°C (16:34) | Hum.40 | Viento 11.2 km/h ENE, Pres.986.2 hpa Lluvia   0.0 mm",0,69607,
31,@alberto_rsaa Sin dudas usted gobernador querido es el mejor Piloto de tormentas !!!,0,58699,
32,En santa fe llueve?,1,109383,
33,Adivinen quien se mojó?? Gracias tormenta,1,45202,
34,Me ha gustado un vídeo de @YouTube (https://t.co/y2adZVgXvD - **TEMPORADA 7** SE ACERCA UNA TORMENTA!!? FORTNITE: Battle Royale).,0,49227,
35,"recién me despierto de la siesta ...con esta lluvia quien no duerme , igual hubiera estado más piola si dormíamos la siesta juntos ahre",1,28392,
36,Sos hermosa😍 — Abran los paraguas para la lluvia de datos https://t.co/VYXFOWRooI,0,44043,
37,Netflix + lluvia = perfeccion,1,53927,
38,"@LuchoCabj101 Ay si boludo,que tormenta horrible",1,101828,
39,me cansó la lluvia,0,53329,
40,Ojalá me pusiera mimosa... la lluvia me pone más gorda de lo que soy https://t.co/0EEk04CLD3,1,33924,
41,Que hermosa lluvia💕,1,63079,
42,"Vieron que en Córdoba hay gente estudiando las tormentas. Bueno, creo que con esta hacían la tesis",0,25043,
43,"El tiempo #en Santa Fe:
Barrio Constituyentes
T: 25.3°C
H: 21%
ST: 25.3°C
P: 1016.1hPa
Lluvia hoy: 0.0mm.",0,38539,
44,"No se , pero yo amo dormir con lluvia man",0,73126,
45,"13h Agvnet CDU: Temp. 22.7 °C, Hum. 44 %, Bar. 1014.4 hPa, Lluvia 0 mm, Viento 7.2 km/h NE #Weathercloud",0,18300,
46,"Que la lluvia pase de largo, quiero salir manga de forros",1,2449,
47,Se levantó tormenta de un rato a otro,1,101085,
48,Salir al patio y escuchar los truenos en Dolby Surround 7.1 jajaja,1,93903,
49,Lea en EstaciónPlus:Anuncian hasta 40° y más de 100 mm de lluvias en Entre Ríos este fin de año: Advierten por fenómenos meteorológicos de alto impacto en los próximos días. El 2019 empezará lluvioso. Mirá el informe especial para la provincia y la región https://t.co/u0PNOEPbIX https://t.co/kiRKECaYmS,0,104888,
50,Encima que lindo andar bajo la lluvia 😍😍😍😍 que feo el calor del departamento 😭😭😭😭,0,3311,
51,"Datos actuales en #SantaFe
Barrio Candioti Norte:
T: 20.9°C
H: 79%
ST: 20.9°C
P: 1008.1hpa
Lluvia hoy: 9.0mm",0,98874,
52,Uno de los placeres de la vida... Dormir mientras llueve💞,1,57153,
53,Hay que dormir nomas dice la lluvia,1,53134,
54,"@Fernandofr333 @Apuntes_ El video es otro tema, porque depende de la complejidad que quiera darle al archivo. Si son sólo fotos o si son videos.

Mañana paso data porque estoy bajo tormenta de LPM y se corta la luz que cada rato... https://t.co/J6ti4cHrRV",0,78139,
55,"@camilasanchezn Es el uno , cuando wos , cacha , trueno, etc. Estaban en el quinto el y Dtoke ya estaban en la red bulls Inter. Una bestia jaja",0,42242,
56,Que ganas de hacer cucharita con mi wacho con esta lluvia,1,8498,
57,"Ya sabemos que llueve, manga de forros",1,65075,
58,re xxl la lluvia,1,87802,
59,"Venia del gym en plena tormenta re relajada, me cruza un hombre y me dice ""corre que se vienen las piedras"" cai en que podía ser posible y empecé a correr jajajajajaja",0,92671,
60,Por fin lluvia hdp,1,104979,
61,tengo ganas de salir a bicicletear pero viendo sus fotos y vídeos de piedras y lluvia me dio miedo. Es su culpa jeje ahre,0,82308,
62,"Dormi lindo che, te extrañaba lluvia!!",0,68561,
63,El miedo que le agarre a las tormentas de noche 😓,0,90869,
64,Vete de aquí tormenta.,1,55054,
65,Y llegó la tan ansiada lluvia 😀,1,100512,
66,Alguien está escuchando esos truenos?,1,1413,
67,Se ve que la tormenta fue copada porque Tiro el árbol locoooooo,0,70632,
68,"a una hora de ir a trabajar, y llueve como locos en camilo aldao!",1,16815,
69,Mi viejo que cae un rayo y corta la luz,0,28975,
70,"Haganse el favor de salir a mirar el cielo, que belleza.
Casi no se ve la lluvia de estrellas, pero igual el cielo esta lleno",0,72240,
71,Los días de lluvia😍,0,51043,
72,Anoche me desperté por un rayo y lo primero que pensé fue OIGAN MUCHACHO ESCUCHARON EL relampago??? Tengo la mente matada ya,0,109617,
73,Se larga la lluvia. Fijar este tuit https://t.co/beFY90qKxK,0,92684,
74,"No sé a mi la lluvia no me motiva para nada a estudiar, solo quiero dormir",1,86344,
75,"Estamos en una época en que nos chupa un huevo el otro, donde sólo nos importa cagarnos en el esfuerzo que hacen, en su persona y NOS CHUPA UN HUEVO cómo se sienta, si total, yo estoy bien, el resto... que lo parta un rayo",0,57855,
76,"si llueve ya saben porque es, estoy yendo al colegio",0,57913,
77,DATO DE LLUVIA CAÍDA EN GUALEGUAY  53,0,70412,
78,@Flawless_swan Sh deja la lluvia tranquila para los que vamos a dormir siesta 😝,1,93625,
79,Ta para desmayarse con esta lluvia,1,43590,
80,Amo ver cómo están las canchas con la lluvia para mi es admirable ver cómo con tanta lluvia algunos campos están impecables,0,7722,
81,como no te cae un rayo en la cabeza la reconcha de tu madre https://t.co/XxZHS9BqZ1,0,32423,
82,"🌧 La imagen satelital de esta mañana del @SMN_Argentina muestra un gran frente de tormenta que abarca el sur de Santa Fe, la provincia de Entre Rios y el noreste de la provincia de Buenos Aires.

☀ Clima despejado para el resto de las zonas productoras.

» (1/2) https://t.co/LhujSXJgdE",0,64804,
83,"Ya veo que se va a largar a llover o cuando salga de mi casa o cuando este volviendo, porque la lluvia me odia🤦🏼",0,79060,
84,"14h Agvnet CDU: Temp. 23.9 °C, Hum. 45 %, Bar. 1012.7 hPa, Lluvia 0 mm, Viento 14.8 km/h N #Weathercloud",0,18305,
85,Que ganas de estar con mi vida viendo peliculas mientras escucho como llueve,0,106362,
86,Ay esta lluvia que no quiere parar che 🙉,1,66411,
87,Ke lluvia re culiadaw,0,53354,
88,"Un hermoso día el de hoy! 
Ay! Qué bello día es hoy! 
está para desatar nuestra tormenta 
que va a tronar por el dolor.",0,13720,
89,Maldigo las veredas hechas mierdas en momentos de lluvia 😠😑,0,29890,
90,@danielamachuca es que ESTAMOS BRASIL. Llueve con el calor a 30 grados y el SOL mirándote así 🌝,0,93442,
91,Para que anduve en la klx ahora tengo ganas de prenderla fuego a la tornado,0,60441,
92,@GabyObelar1 @LaCabalaRadio Seguro?  Tormenta eléctrica...,0,27270,
93,Lluvia y la re calcada concha de tu madre 😤😭,1,8280,
94,Pedido solidario para afectados por las lluvias https://t.co/D0skY9PhQl,0,30109,
95,@AyeRiveroo Es porque en un rato llega la tormenta de facha a Paraná !,0,72202,
96,Quiero escuchar la tormenta abrazada a vos,0,37134,
97,Domingo de lluvia y bajón. Por mí que arranque el lunes en media hora. Ya fue todo.,1,1631,
98,"Si la lluvia llega hasta aquí, voy a limitarme a vivir",0,10170,
99,"Tremenda tormenta de la madrugada y ahora un sol que parte la tierra, esto es San Luis",0,16475,
100,"Tendría que estar yendo a buscar la ropa de mi primo,pero estoy caminando bajo la lluvia..",1,79146,
101,Trueno v2.0. 2fast2furious. https://t.co/FpS7klRbZo,0,19231,
102,Si se puede jugar! Hubo ya una final con lluvia en esa cancha! Por las dudas les recuerdo quien fue el campeón.. #FinalCopaLibertadores #BocavsRiver #CONMEBOLLibertadores @CANOBoficial #EstudioFutbol @TyCSports #LAMEJORFINALenSC https://t.co/ykThUhG0Tl,0,8666,
103,"Si llueve ahora por lo menos espero que mañana este nublado, no aguanto el calor😒",0,87129,
104,@J1M1NCUTE @clau4805 @BTS_twt Frio😊 lluvia💖 azul😱 celular🤗 solteras😂 @BTS_twt #MTVEMABiggestFansBTS,0,17573,
105,"Aerolíneas-La lluvia.(Según San Idiota) 
Confirmado : Jacques Cousteau era de La Cámpora.",0,23371,
106,"Queria ir a la pileta, llueve. Empece a ver una serie, se corta la luz",0,109218,
107,@FraancoMiletich Jajajajajajaja es que últimamente la lluvia ni tiempo a nada se larga con todo nomas,0,92793,
108,Quiero alguien para pasar los días de lluvia,0,40350,
109,Chica la tormenta,0,72655,
110,"LLUVIA DE MI VIDA TE AMO CON TODO MI CORAZÓN, GRACIAS MUNDO",1,77965,
111,Que linda lluvia😍,1,107314,
112,@LautiMarchese Jajaja encima llueve a balde!,0,51882,
113,Lo único que voy a ver a las 2 de la mañana es la tormenta que se está viniendo,0,76107,
114,"De nuevo está lloviendo, siempre arruinando mis planes la lluvia de mierda",1,93092,
115,Rayos 😔,0,47959,
116,"En la vida real le tengo miedo a los truenos. 
Así estoy . https://t.co/eCs5wgupHv",0,14882,
117,"Le puli los rayos y todo, bastante la turra",0,105845,
118,dormir con lluvia♥ que maravilla,1,17103,
119,Llueve por qué gano Belgrano ?🤔,1,18907,
120,Como loco si llueve,1,14225,
121,Llueve!! BARADEL en el Tigre en la asamblea de suteba. Espero que tenga que salir haciendo perrito por el río!!!! Y encima se va a tener que bañar!!!!🤣🤣🤣,0,46006,
122,"Encima cuando quiero que llueva en temporada de escuela no llueve, alta leche la mía😂💔",0,80831,
123,"Las intensas lluvias generaron una creciente de casi siete metros en el río San Antonio

El agua ingresa con mucha fuerza en el cauce de los ríos serranos, luego de varios días de lluvia que afectan a la región. Se recomienda acatar las órdenes de Defensa Civil, no intentar … https://t.co/HF7XhF8atm",0,38454,
124,@LuddVeron Que hermoso es dormir bajo la lluvia ahre se re enfermaba,0,31676,
125,"20h ClimaRafaela: Temp. 19.4 °C, Hum. 95 %, Bar. 999.2 mbar, Lluvia 35.9 mm, Viento 10.8 km/h SO #Weathercloud",0,46241,
126,los truenos me estan dando alto miedo caen re cercaaaa,1,75946,
127,"Quien necesita un chongo con este clima, si lo tengo a mi gato que le tiene miedo a la tormenta, entonces se me acuesta encima 💕",0,14168,
128,"@marinavibu609g @MolaschiClara @Cristin97215062 @SuttoraM @tantumanita @RobertoGranai @Rossana7336 @dianafalcione69 @AlteaFerrari @pulce_mm @lillagranata2 ¡Gracias Marina! Es un día especial: hay truenos,lluvia y también sol,todo junto al mismo tiempo..Hermoso en verdad...Feliz atardecer/noche para todos ustedes... https://t.co/5aMsdxGDQC",1,93544,
129,No es un día de lluvia si no pisas 20 baldosas flojas...,0,58851,
130,@NanuLepra74 Estoy esperando la lluvia ..,0,5787,
131,me dan miedo las tormentas y más cuando se corta la luz :(,0,72318,
132,"Vieron qué hay familias que se ponen contentas cuando gana una copa su equipo de futbol? Bueno, en mi casa andan así de contentos cuando llueve.",0,105226,
133,"Imágenes: Después de las intensas lluvias así quedaron las barrancas en Diamante - - https://t.co/KejGduVWpB lo que no dice el diario que en 2004 se abandono el proyecto de estabilización de barrancas, solo se ejecuto en la zona del puerto de ultramar https://t.co/q0vfr5QdZH",1,38134,
134,Llueve poqui,1,34033,
135,Verlo a Agustín anoche llegar mojado y despeinado por la lluvia hizo que se me cayeran las babas😻,1,90263,
136,@AgustinH06 La 704 cuando amanecía el día después de la lluvia,0,39320,
137,Mirar al cielo con la insistencia suficiente para que el primer rayo de una gran tormenta impacte en tus ojos.,0,102848,agus
138,Lluvia hasta cuando😡,1,52596,agus
139,No hay como el mirar fútbol cuando llueve y estando en casa 💧☁🏡👌⚽,1,58973,agus
140,Que hermosa tormenta!!!!,1,48470,agus
141,Esa lluvia para dormir ❤,0,83901,fede
142,⚠️ OJO!! Me avisa @piedradari3 que “entro a S.Luis severa tormenta con granizo de17200mts d altura esta sobre la ruta 7 y atencion que puede llegar a su ciudad y hacer daño si sigue asi”,0,103259,fede
143,@xyxlxnm Re dormí mal amiga flashe lluvia,0,55597,fede
144,"encima que llueve estoy a pata, el embole en su máxima expresión",1,85277,fede
145,desenchufen a su abuelo que hay tormenta!,1,106330,fede
146,Esta lluvia esta ideal para cenar unos fideo con salsa.,1,81709,fede
147,"Como llueve, que orgazmo escuchar y sentir esto 😍",1,25330,fede
148,@marti_cavallo Esa calle me traumo de chica un día de lluvia sorry,0,29280,fede
149,Me levanté para ir a clases y pum se largó una tormenta jaj saludos desde mi cama 👋,1,30919,fede
150,La lluvia es pa cucharear,0,13668,fede
151,"Real que estoy entre mirar un capítulo de mi serie y dormir, o seguir pintando xq con esta lluvia😍😍😍",1,68186,fede
152,Me agarro toda la lluvia en bici lpm,0,107510,fede
153,"Hoy hace 123 años, un tipo de 50 años, que habia sido expulsado de la secundaria por haber hecho una caricatura de un profesor, y que tuvo que irse a otro pais para conseguir un titulo, estaba haciendo unos experimentos cuando accidentalmente descubrió los rayos X.
#2ndChances",0,2488,fede
154,El olor a lluvia 😍,0,105773,fede
155,@GimenaJofre3 Vas a mojarte con la lluvia?,1,54438,fede
156,"- TORMENTAS FUERTES -

Zonas: Este de Catamarca, Oeste de Santiago del Estero, Tucumán",0,61759,fede
157,"El tiempo #en Santa Fe:
Barrio Constituyentes
T: 25.4°C
H: 62%
ST: 25.4°C
P: 1009.7hPa
Lluvia hoy: 0.0mm.",0,54862,fede
158,"Tengo que rendir un final y está TODO INUNDADO, LA SUERTE QUE MANEJO TE LA REGALO 😒",1,86301,fede
159,"con esta lluvia tendría que estar durmiendo, pero estoy en particular",1,63375,fede
160,"8h Agvnet CDU: Temp. 21.6 °C, Hum. 98 %, Bar. 999.2 hPa, Lluvia 3.3 mm, Viento 11.2 km/h O #Weathercloud",0,89251,fede
161,"Se ve que algunos accionistas también se comieron el viaje de la lluvia de inversiones, del mejor equipo de los 50 años, de que como no vamos a controlamos la inflacion, etc...El problema es que gran parte de nuestra deuda está en dólares. Moneda la maneja el gran titiritero. https://t.co/Lp4YOz9TfL",0,83053,fede
162,@glaveanton @BossPeppers El avión va por arriba de la tormenta .No te asustes .😊🤗,0,16610,fede
163,"#SuperLiga
#Patronato
La Ruda bajo agua.
Las mismas que estuvieron en el empate ante #Union en el 15 de Abril, hoy están bajo la lluvia en el ingreso al vestuario del Patrón.
@maurogaggino https://t.co/1rlnV15vcF",0,15727,fede
164,"No trabajo y llueve, trabajo y hay un sol espectacular para ir a una pile. Que bien mi vida..",0,105022,fede
165,"Lluvia mate, con la mejor compañía 👵💓",0,47236,fede
166,"Cuándo voy a madurar y dejar de tenerle miedo a los tormentas?
Hola insomnio 👋",0,4066,fede
167,"que linda lluvia, estoy esperando que me parta un rayo",1,84306,fede
168,"Hernan me habló para hacer algo,como amo que mi amigo me hable los sábados para activarlos ,pero llueve a bocha 🤦",1,4968,fede
169,Tremenda lluvia para estar acostada pero no.. estoy en la esc para no quedarme libre,1,30614,fede
170,Lluvia del orto,1,104831,fede
171,Que lluvia hdp,1,8351,fede
172,"Linda lluvia, viene chanta para las canchitas 😌",1,81585,fede
173,Vamos que hoy llueve🙏 https://t.co/aAvYKBBUE1,1,91543,fede
174,Que tormenta del orto con que necesidad a verrrrrr,1,65043,fede
175,No llueve en todo el finde.. ¿Cuando va a llover? Justo para año nuevo. ACUERDENSEN,0,105393,fede
176,"Datos actuales en #SantaFe
Barrio Sgto. Cabral:
T: 30.0°C
H: 56%
ST: 30.0°C
P: 1003.0hpa
Lluvia hoy: 0.0mm",0,89464,fede
177,Quería lluvia AHÍ TENÉ,1,86996,fede
178,Que les pasa a los que salen con esta lluvia ¿??? yo no puedo ni salir de la cama todavía,0,6023,fede
179,Ayer me enteré que los rayos salen de la tierra. Por qué nadie me lo dijo?,0,95310,fede
180,A mi novio lo haces feliz con tan poco... hoy hice un tuco que me salió muy rico (muy modesta pero es verdad) y me dijo 37 veces que estaba riquísimo y que gracias por hacer una comida tan rica un día de lluvia jajaja lo amo,0,28599,fede
181,"#Reprogramacion #Taburetes #Arte2018 
❗❗Por pronóstico de lluvias, la subasta de taburetes del Politécnico es reprogramada para el próximo Lunes 17/12 ❗ ❗ https://t.co/XtrJSlz6lo",0,68693,fede
182,Se me salió el corazón del pecho con el trueno xd,0,4692,fede
183,me estoy dando cuenta que la lluvia me va a fallar asi que me voy a poner a estudiar.,0,24034,fede
184,"me iba quejar de que tenía que volver caminando con lluvia pero me acordé que el sábado corrímos con los bobos 8 cuadras con tormenta eléctrica, calles inundadas Y CON VIENTO FRIO y se me pasó",0,28185,fede
185,"Los voy a poner en contexto. Mi hermano salió a las 3am (por la lluvia). Este sujeto, es un individuo qué cuando sale toma cantidades muy bajas de alcohol, pero siempre puede haber una excepción, esta noche lo fue...",0,71400,fede
186,"Ola bb estás invitado a mi casa a no hacer nada, solamente acostarnos, darnos muchos besos y escuchar como llueve 

Enviar",1,30327,fede
187,"No inverno , cocino y se comio un chocolate entero .
Resultado : dos dias de lluvia y granizo jajajaja",0,57687,fede
188,Otro inconveniente por la intensa lluvia: La basura es un problema de todos. https://t.co/ej3Oa1gjtD /interes_general,1,47957,fede
189,@vickyfreyre__ boluda fue todo muy chistoso porque dije “lluvia tu me oyes? me escuchas?” boludeando y jusTO SE LARGÓ,0,31586,fede
190,"@CalleDRosario Esto es una verdadera vergüenza,señora Intendente!!! Hace años que reclamó y no pasa nada!!! Que hace con la plata de mis impuestos??? Esta laguna se forma cada vez que llueve,en calle Silva entre Reconquista e Iberlucea. Haga algo x favor!!! https://t.co/GQJkn98UOD",0,104050,fede
191,"Mks sacó el plus que le faltaba en esta última fecha,que abuso,quería que se quede Trueno 💔",0,103002,fede
192,"Como odio el clima asi es una cosa que me pone muy de mal humor, porque no llueve durante la semana la concha de tu madre",0,18140,fede
193,"Hace dos semanas que la paso mal secando ropa, lluvia del remil orto",1,13552,fede
194,"Malabia y Santa María. En #SanJusto, las calles llenas de agua luego de la tormenta. https://t.co/bctJ592EtK",0,86513,fede
195,"Desde las 1 de la mañana me da 100% de probabilidad de lluvia, todo el día lluvia, salís afuera el sol que raja la tierra, meteorológico chupame un huevo...",0,86483,fede
196,MAAMAA MIRA COMO LLUEVE QUIERO DORMIR,1,12047,fede
197,"@CristianFoos @tribussolaro De veritas, estaba preocupada por la lluvia y me olvidé que cumplía años lpm",0,33013,fede
198,Tremendo rayo en cap. Prendió la alarma de un auto 😱,0,64482,fede
199,Que paja dormir sola con estos truenos del orto,1,14932,fede
200,Lluvia te amo,1,106779,fede
201,Que abuso como llueve,1,96848,fede
202,Dormir cuchareando mientras llueve deberia ser una de las maravillas del mundo!,0,33199,fede
203,@SofiaChelini Rayos,0,85539,fede
204,Hoy si no llueve que pinte las mas loca casa sola pa que 😋,0,41302,fede
205,@maiazogee Lluvia de agua más que de estrellas jajajajajajajaja,1,79772,fede
206,Juega que si llueve en fin de año active una re joda en casa,0,105716,fede
207,Ay no 😭😭 les juro que estoy cagada hasta las patas del miedo que le tengo a esta tormenta 😭😭😭,1,5901,fede
208,"Team Rebellion Racing Diálogo por radio , Lotterer termina preguntando a los Técnicos del pit. Apuntando a que???   Además insiste, no es facil conducir bajo estas condiciones de 🌂 lluvia  y  entender en el cockpit lo que quieren decirme.\Lotterer ex piloto Audi supercar hibr. https://t.co/oOx0FGbaHF",0,39325,fede
209,Culia la primera vez que iba a salir en el año y llueve,1,103388,fede
210,Se viene la tormenta. Sin luz. Calor insoportable. Mosquitos por docenas. Me quiero morir.,0,104403,fede
211,lluvia¡¡¡,0,44020,fede
212,Lluvia querida 😍,1,80487,fede
213,"@BubbIa__ @patussok @LasHeteras @marupink @exsetero @CRAlS2017 @YoCasto Una vez , cuando era chica,  entró una centella a la cocina... impactó en la canilla de la cocina, fue un resplandor impresionante..el rayo habia caido en un árbol del jardin",0,69782,fede
214,"aunque yo me oculte tras la montaña y encuentre un campo lleno de caña, no habrá manera mi rayo de luna que tú te vayas",0,39560,fede
215,Que linda la lluvia solo me falta compañía y estaríamos 🤗♥️,1,34156,fede
216,@GabyAnabel23 no me puedo dormir solo con esta lluvia 😪,1,31546,fede
217,Lluvia??? Oh si!! Mis oídos tienen un orgasmo 🙈,1,81245,fede
218,avisame si falla el rayo,0,74374,fede
219,"Que lindo dormir con el chongo y la lluvia de fondo, lastima que me falta el chongo",0,16189,fede
220,@Gamuza37721090 Lluvia a pleno. Buen día,1,68845,fede
221,@araaSca Anoche amagaron y esta mañana hasta recién también ! Pero por suerte tenemos ! Pero llueve mucho ! 😐,1,770,fede
222,Llueve?¿???¿¿?¿,0,107948,fede
223,Está anunciado lluvia para toda la semana llega a llover el sábado y me muero no sé 🙍,0,69193,fede
224,Truenos de mierda🙄,1,14757,fede
225,Lluvia metele nomas😍😍,0,30122,fede
226,Si llueve va ser una siesta perfecta para mi🙏,0,105215,fede
227,Se presta la lluvia para dormir acompañada,1,61221,fede
228,Cosa hermosa las tormentas 😍,0,81572,fede
229,Seguro llueve,0,104269,fede
230,"Dicen pobre Uruguay (por la tormenta)...
Pero........ ⤵️ https://t.co/qXxdD3GPAn",0,92724,fede
231,Que lindo dormir con lluvia ❤,1,56687,fede
232,Que linda lluvia loco😍😍😍,1,8892,fede
233,Ya no me gustan mas los dias nublados y con lluvia nanana mansa depre loco,0,17035,fede
234,que lindo dormir con lluvia señor,1,77925,fede
235,lluvia y a jugar.... https://t.co/arsC6sIJHo,0,57005,fede
236,"Me anote p natación,  alpedo siempre llueve cuando voy.  Petiton triunfando",0,92740,fede
237,"lo rápido que se organizaron mis amigas para venir a desayunar al centro, ni la tormenta las paró, o la tormenta es por culpa de ellas...",0,96323,fede
238,Cocinamos con Ulises y llueve 🤦,1,54571,fede
239,Buen fútbol en la lluvia ⚽️,0,84642,fede
240,@MussoRamiro @kiki_oliva Demostrá que no solo servís para colgar la tornado😂,0,58519,fede
241,Y la lluvia pa cuando?,0,8881,fede
242,"Antes odiaba los días de lluvia, ahora los amo con todo mi ser! 
Que lindo martes bebé!!",0,68194,fede
243,"el pronóstico de mañana a la mañana de lluvia, pero con la suerte que tengo seguro sale alto sol",0,32824,fede
244,Linda lluvia para dormir abrazados y yo sin vos,1,90540,fede
245,@SantiagoRossi45 Que facha el tornado lpm,0,11423,fede
246,que lindo que llueve,1,80250,fede
247,Toda la semana un sol que raja la tierra pero llega el sabado que hay de todo y llueve como la concha de tu hermana,1,6574,fede
248,Yendo a consulta con esta lluvia deberían aprobarme solo por no quedarme durmiendo,1,65140,fede
249,"1. El chino, el mudo y Matías
2. Ir y volver caminando de mi casa al Kempes para ir a ver a Belgrano contra RAFAELA un lunes bajo la lluvia
3. Un 1-0 vs Velez en el torneo transición 2014 https://t.co/YPh1PdomOb",1,42235,fede
250,"""Ojalá me cruce con alguien que tenga tantas ganas de soñar como yo, que no mienta ni se mienta, que baile entre las tormentas.""",0,58464,fede
251,@jormax76 Y la lluvia? @emergenciasAR,0,107748,fede
252,Buscando las ganas de volver a pná con esta lluvia,0,30395,fede
253,"Lluvia ☔, lluvia ☔ y más lluvia ☔",1,1963,fede
254,traigan un paragua y algo para la lluvia también,1,90786,fede
255,Estoy acostada escuchando la lluvia únicamente y me parece perfecto,1,45135,fede
256,"en otros paises, los canales de noticias tienen tambien 4 camaras contando como se desarrolla una tormenta? durante 20 minutos?",0,10382,mechi
257,"La otra vez que vine a buenos aires un frío de cagarse la noche del sábado, el domingo en la cancha cagado de calor. Ahora lluvia todo hoy y posiblemente mañana también, nunca un día normal no ?",1,9679,mechi
258,Con esta lluvia está para estar de a 2,1,44215,mechi
259,Se copo la lluvia,1,24669,mechi
260,Hice esperar a mi mamá abajo en el rayo del sol para poder terminar de descargar la playlist del pepo porque #prioridades,0,108494,mechi
261,ay lluvia 😻,1,71775,mechi
262,Lluvia con sol en Rosario https://t.co/6q4SvPIaz0,1,10762,mechi
263,"Alguien me dice cuando va a llover ? Jajajaja 

Lluvia ya cansas",0,95012,mechi
264,"Ahora #Tiempo en #Rosario Barrio Centro 
Temp.: 28.2°C
Hum.: 23%
S.T.: 23.6°C
Pres..: 1000.6hPa
Viento: 18Km/h WNW
Lluvia hoy: 0.0mm",1,37887,mechi
265,"Ahora #Tiempo en #Rosario Barrio Centro 
Temp.: 33.6°C
Hum.: 37%
S.T.: 35.2°C
Pres..: 1003.3hPa
Viento: 4Km/h ESE
Lluvia hoy: 0.0mm",0,97352,mechi
266,Amo los días de lluvia ⛈️😊 https://t.co/bhntC0AZqQ,0,106093,mechi
267,"@marianita85 Nono... vino al grito de ""Leo, tu mujer me dijo que te avise una hora antes de que llegue la tormenta. Ya está en Casilda""

Juntamos todo, nos fuimos... y al llegar empezó a llover. Es el mejor vecino.",1,98629,mechi
268,@rubenmilito Y con lluvia,0,47725,mechi
269,Pequeño susto me pegue con el trueno😂,1,28272,mechi
270,"@Loiiiiiiii13 Rayos, me prestas un diccionario?",0,32161,mechi
271,"Qué ser despreciable soy, todos los días de lluvia pasa lo mismo",0,65464,mechi
272,me desperte con alta tormenta nananana me enamoré,1,45852,mechi
273,Donde esta la lluvia que decían que iba a haber hoy???? Me niego a jugar con este calor 🤦,0,9336,mechi
274,"El clima en Rosario: mesa adentro el 31, anuncian lluvias hasta el 2 de enero https://t.co/hh9GnbiHGh vía @rosariotres",0,103411,mechi
275,"Belén Perezlindo, encargada del área de Comunicación de la Biblioteca Popular del Paraná, indicó que el lunes por la mañana, al llegar los... https://t.co/mrsHQArqoI",0,36940,mechi
276,"Yo veo A Mi perros asustados por esta tormenta , y me baja una tristeza por los perros y mascotas que estan en la calle💔",1,65983,mechi
