Twit,Tag,Num,Nombre
"Ya veo que se va a largar a llover o cuando salga de mi casa o cuando este volviendo, porque la lluvia me odia🤦🏼",0,79060,
"14h Agvnet CDU: Temp. 23.9 °C, Hum. 45 %, Bar. 1012.7 hPa, Lluvia 0 mm, Viento 14.8 km/h N #Weathercloud",0,18305,
Que ganas de estar con mi vida viendo peliculas mientras escuchando como llueve,0,106362,
Ay esta lluvia que no quiere parar che 🙉,1,66411,
Ke lluvia re culiadaw,0,53354,
"Un hermoso día el de hoy! 
Ay! Qué bello día es hoy! 
está para desatar nuestra tormenta 
que va a tronar por el dolor.",0,13720,
Maldigo las veredas hechas mierdas en momentos de lluvia 😠😑,0,29890,
@danielamachuca es que ESTAMOS BRASIL. Llueve con el calor a 30 grados y el SOL mirándote así 🌝,0,93442,
Para que anduve en la klx ahora tengo ganas de prenderla fuego a la tornado,0,60441,
@GabyObelar1 @LaCabalaRadio Seguro?  Tormenta eléctrica...,0,27270,
Lluvia y la re calcada concha de tu madre 😤😭,1,8280,
Pedido solidario para afectados por las lluvias https://t.co/D0skY9PhQl,0,30109,
@AyeRiveroo Es porque en un rato llega la tormenta de facha a Paraná !,0,72202,
Quiero escuchar la tormenta abrazada a vos,0,37134,
Domingo de lluvia y bajón. Por mí que arranque el lunes en media hora. Ya fue todo.,1,1631,
"Si la lluvia llega hasta aquí, voy a limitarme a vivir",0,10170,
"Tremenda tormenta de la madrugada y ahora un sol que parte la tierra, esto es San Luis",0,16475,
"Tendría que estar yendo a buscar la ropa de mi primo,pero estoy caminando bajo la lluvia..",1,79146,
Trueno v2.0. 2fast2furious. https://t.co/FpS7klRbZo,0,19231,
Si se puede jugar! Hubo ya una final con lluvia en esa cancha! Por las dudas les recuerdo quien fue el campeón.. #FinalCopaLibertadores #BocavsRiver #CONMEBOLLibertadores @CANOBoficial #EstudioFutbol @TyCSports #LAMEJORFINALenSC https://t.co/ykThUhG0Tl,0,8666,
"Si llueve ahora por lo menos espero que mañana este nublado, no aguanto el calor😒",0,87129,
@J1M1NCUTE @clau4805 @BTS_twt Frio😊 lluvia💖 azul😱 celular🤗 solteras😂 @BTS_twt #MTVEMABiggestFansBTS,0,17573,
"Aerolíneas-La lluvia.(Según San Idiota) 
Confirmado : Jacques Cousteau era de La Cámpora.",0,23371,
"Queria ir a la pileta, llueve. Empece a ver una serie, se corta la luz",0,109218,
@FraancoMiletich Jajajajajajaja es que últimamente la lluvia ni tiempo a nada se larga con todo nomas,0,92793,
Quiero alguien para pasar los días de lluvia,0,40350,
Chica la tormenta,0,72655,
"LLUVIA DE MI VIDA TE AMO CON TODO MI CORAZÓN, GRACIAS MUNDO",1,77965,
Que linda lluvia😍,1,107314,
@LautiMarchese Jajaja encima llueve a balde!,0,51882,
Lo único que voy a ver a las 2 de la mañana es la tormenta que se está viniendo,0,76107,
"De nuevo está lloviendo, siempre arruinando mis planes la lluvia de mierda",1,93092,
Rayos 😔,0,47959,
"En la vida real le tengo miedo a los truenos. 
Así estoy . https://t.co/eCs5wgupHv",0,14882,
"Le puli los rayos y todo, bastante la turra",0,105845,
dormir con lluvia♥ que maravilla,1,17103,
Llueve por qué gano Belgrano ?🤔,1,18907,
Como loco si llueve,1,14225,
Llueve!! BARADEL en el Tigre en la asamblea de suteba. Espero q tenga q salir haciendo perrito por el río!!!! Y encima se va a tener q bañar!!!!🤣🤣🤣,0,46006,
"Encima cuando quiero que llueva en temporada de escuela no llueve, alta leche la mía😂💔",0,80831,
"Las intensas lluvias generaron una creciente de casi siete metros en el río San Antonio

El agua ingresa con mucha fuerza en el cauce de los ríos serranos, luego de varios días de lluvia que afectan a la región. Se recomienda acatar las órdenes de Defensa Civil, no intentar … https://t.co/HF7XhF8atm",0,38454,
@LuddVeron Que hermoso es dormir bajo la lluvia ahre se re enfermaba,0,31676,
"20h ClimaRafaela: Temp. 19.4 °C, Hum. 95 %, Bar. 999.2 mbar, Lluvia 35.9 mm, Viento 10.8 km/h SO #Weathercloud",0,46241,
los truenos me estan dando alto miedo caen re cercaaaa,1,75946,
"Quien necesita un chongo con este clima, si lo tengo a mi gato que le tiene miedo a la tormenta, entonces se me acuesta encima 💕",0,14168,
"@marinavibu609g @MolaschiClara @Cristin97215062 @SuttoraM @tantumanita @RobertoGranai @Rossana7336 @dianafalcione69 @AlteaFerrari @pulce_mm @lillagranata2 ¡Gracias Marina! Es un día especial: hay truenos,lluvia y también sol,todo junto al mismo tiempo..Hermoso en verdad...Feliz atardecer/noche para todos ustedes... https://t.co/5aMsdxGDQC",1,93544,
No es un día de lluvia si no pisas 20 baldosas flojas...,0,58851,
@NanuLepra74 Estoy esperando la lluvia ..,0,5787,
me dan miedo las tormentas y más cuando se corta la luz :(,0,72318,
"Vieron qué hay familias que se ponen contentas cuando gana una copa su equipo de futbol? Bueno, en mi casa andan así de contentos cuando llueve.",0,105226,
"Imágenes: Después de las intensas lluvias así quedaron las barrancas en Diamante - - https://t.co/KejGduVWpB lo que no dice el diario que en 2004 se abandono el proyecto de estabilizacion de barrancas, solo se ejecuto en la zona del puerto de ultramar https://t.co/q0vfr5QdZH",1,38134,
Llueve poqui,1,34033,
Verlo a Agustín anoche llegar mojado y despeinado por la lluvia hizo que se me cayeran las babas😻,1,90263,
@AgustinH06 La 704 cuando amanecía el día después de la lluvia,0,39320,
Mirar al cielo con la insistencia suficiente para que el primer rayo de una gran tormenta impacte en tus ojos.,0,102848,agus
Lluvia hasta cuando😡,1,52596,agus
No hay como el mirar fútbol cuando llueve y estando en casa 💧☁🏡👌⚽,1,58973,agus
Que hermosa tormenta!!!!,1,48470,agus
Esa lluvia para dormir ❤,0,83901,fede
⚠️ OJO!! Me avisa @piedradari3 que “entro a S.Luis severa tormenta con granizo de17200mts d altura esta sobre la ruta 7 y atencion q puede llegar a su ciudad y hacer daño si sigue asi”,0,103259,fede
@xyxlxnm Re dormí mal amiga flashe lluvia,0,55597,fede
"encima que llueve estoy a pata, el embole en su máxima expresión",1,85277,fede
desenchufen a su abuelo que hay tormenta!,1,106330,fede
Esta lluvia esta ideal para cenar unos fideo con salsa.,1,81709,fede
"Como llueve, que orgazmo escuchar y sentir esto 😍",1,25330,fede
@marti_cavallo Esa calle me traumo de chica un día de lluvia sorry,0,29280,fede
Me levanté para ir a clases y pum se largó una tormenta jajaja saludos desde mi cama 👋,1,30919,fede
La lluvia es pa cucharear,0,13668,fede
"Real que estoy entre mirar un capítulo de mi serie y dormir, o seguir pintando xq con esta lluvia😍😍😍",1,68186,fede
Me agarró toda la lluvia en bici lpm,0,107510,fede
"Hoy hace 123 años, un tipo de 50 años, que habia sido expulsado de la secundaria por haber hecho una caricatura de un profesor, y que tuvo que irse a otro pais para conseguir un titulo, estaba haciendo unos experimentos cuando accidentalmente descubrió los rayos X.
#2ndChances",0,2488,fede
El olor a lluvia 😍,0,105773,fede
@GimenaJofre3 Vas a mojarte con la lluvia?,1,54438,fede
"- TORMENTAS FUERTES -

Zonas: Este de Catamarca, Oeste de Santiago del Estero, Tucumán",0,61759,fede
"El tiempo #en Santa Fe:
Barrio Constituyentes
T: 25.4°C
H: 62%
ST: 25.4°C
P: 1009.7hPa
Lluvia hoy: 0.0mm.",0,54862,fede
"Tengo que rendir un final y está TODO INUNDADO, LA SUERTE QUE MANEJO TE LA REGALO 😒",1,86301,fede
"con esta lluvia tendría que estar durmiendo, pero estoy en particular",1,63375,fede
"8h Agvnet CDU: Temp. 21.6 °C, Hum. 98 %, Bar. 999.2 hPa, Lluvia 3.3 mm, Viento 11.2 km/h O #Weathercloud",0,89251,fede
"Se ve que algunos accionistas también se comieron el viaje de la lluvia de inversiones, del mejor equipo de los 50 años, de que como no vamos a controlamos la inflacion, etc...El problema es que gran parte de nuestra deuda está en dólares. Moneda la maneja el gran titiritero. https://t.co/Lp4YOz9TfL",0,83053,fede
@glaveanton @BossPeppers El avión va por arriba de la tormenta .No te asustes .😊🤗,0,16610,fede
"#SuperLiga
#Patronato
La Ruda bajo agua.
Las mismas que estuvieron en el empate ante #Union en el 15 de Abril, hoy están bajo la lluvia en el ingreso al vestuario del Patrón.
@maurogaggino https://t.co/1rlnV15vcF",0,15727,fede
"No trabajo y llueve, trabajo y hay un sol espectacular para ir a una pile. Que bien mi vida..",0,105022,fede
"Lluvia mates, con la mejor compañía 👵💓",0,47236,fede
"Cuándo voy a madurar y dejar de tenerle miedo a los tormentas?
Hola insomnio 👋",0,4066,fede
"que linda lluvia, estoy esperando que me parta un rayo",1,84306,fede
"Hernan me habló para hacer algo,como amo que mi amigo me hable los sábados para activarmelos ,pero llueve a bocha 🤦",1,4968,fede
Tremenda lluvia para estar acostada pero no.. estoy en la esc para no quedarme libre,1,30614,fede
Lluvia del orto,1,104831,fede
Que lluvia hdp,1,8351,fede
"Linda lluvia, viene chanta para las canchitas 😌",1,81585,fede
Vamos que hoy llueve🙏 https://t.co/aAvYKBBUE1,1,91543,fede
Que tormenta del orto con q necesidad a verrrrrr,1,65043,fede
No llueve en todo el finde.. ¿Cuando va a llover? Justo para año nuevo. ACUERDENSEN,0,105393,fede
"Datos actuales en #SantaFe
Barrio Sgto. Cabral:
T: 30.0°C
H: 56%
ST: 30.0°C
P: 1003.0hpa
Lluvia hoy: 0.0mm",0,89464,fede
Quería lluvia AHÍ TENÉ,1,86996,fede
Que les pasa a los que salen con esta lluvia ¿??? yo no puedo ni salir de la cama todavía,0,6023,fede
Ayer me enteré que los rayos salen de la tierra. Por qué nadie me lo dijo?,0,95310,fede
A mi novio lo haces feliz con tan poco... hoy hice un tuco que me salió muy rico (muy modesta pero es verdad) y me dijo 37 veces que estaba riquísimo y que gracias por hacer una comida tan rica un día de lluvia jajaja lo amo,0,28599,fede
"#Reprogramacion #Taburetes #Arte2018 
❗❗Por pronóstico de lluvias, la subasta de taburetes del Politécnico es reprogramada para el próximo Lunes 17/12 ❗ ❗ https://t.co/XtrJSlz6lo",0,68693,fede
Se me salió el corazón del pecho con el trueno xd,0,4692,fede
me estoy dando cuenta que la lluvia me va a fallar asi que me voy a poner a estudiar.,0,24034,fede
"me iba quejar de que tenía que volver caminando con lluvia pero me acordé que el sábado corrímos con los bobos 8 cuadras con tormenta eléctrica, calles inundadas Y CON VIENTO FRIO y se me pasó",0,28185,fede
"Los voy a poner en contexto. Mi hermano salió a las 3am (por la lluvia). Este sujeto, es un individuo qué cuando sale toma cantidades muy bajas de alcohol, pero siempre puede haber una excepción, esta noche lo fue...",0,71400,fede
"Ola bb estás invitado a mi casa a no hacer nada, solamente acostarnos, darnos muchos besos y escuchar como llueve 

Enviar",1,30327,fede
"No inverno , cocino y se comio un chocolate entero .
Resultado : dos dias de lluvia y granizo jajajaja",0,57687,fede
Otro inconveniente por la intensa lluvia: La basura es un problema de todos. https://t.co/ej3Oa1gjtD /interes_general,1,47957,fede
@vickyfreyre__ boluda fue todo muy chistoso porque dije “lluvia tu me oyes? me escuchas?” boludeando y jusTO SE LARGÓ,0,31586,fede
"@CalleDRosario Esto es una verdadera vergüenza,señora Intendente!!! Hace años q reclamó y no pasa nada!!! Que hace con la plata de mis impuestos??? Esta laguna se forma cada vez q llueve,en calle Silva entre Reconquista e Iberlucea. Haga algo x favor!!! https://t.co/GQJkn98UOD",0,104050,fede
"Mks sacó el plus que le faltaba en esta última fecha,que abuso,quería que se quede Trueno 💔",0,103002,fede
"Como odio el clima asi es una cosa que me pone muy de mal humor, porque no llueve durante la semana la concha de tu madre",0,18140,fede
"Hace dos semanas que la paso mal secando ropa, lluvia del remil orto",1,13552,fede
"Malabia y Santa María. En #SanJusto, las calles llenas de agua luego de la tormenta. https://t.co/bctJ592EtK",0,86513,fede
"Desde las 1 de la mañana me da 100% de probabilidad de lluvia, todo el día lluvia, salís afuera el sol que raja la tierra, meteorológico chupame un huevo...",0,86483,fede
MAAMAA MIRA COMO LLUEVE QUIERO DORMIR,1,12047,fede
"@CristianFoos @tribussolaro De veritas, estaba preocupada por la lluvia y me olvidé que cumplía años lpm",0,33013,fede
Tremendo rayo en cap. Prendió la alarma de un auto 😱,0,64482,fede
Que paja dormir sola con estos truenos del orto,1,14932,fede
Lluvia te amo,1,106779,fede
Que abuso como llueve,1,96848,fede
Dormir cuchareando mientras llueve deberia ser una de las maravillas del mundo!,0,33199,fede
@SofiaChelini Rayos,0,85539,fede
Hoy si no llueve que pinte las mas loca casa sola pa que 😋,0,41302,fede
@maiazogee Lluvia de agua más que de estrellas jajajajajajajaja,1,79772,fede
Juega que si llueve en fin de año active una re joda en casa,0,105716,fede
Ay no 😭😭 les juro que estoy cagada hasta las patas del miedo que le tengo a esta tormenta 😭😭😭,1,5901,fede
"Team Rebellion Racing Dialogo por radio , Lotterer termina preguntando a los Tecnicos del pit. Apuntando a que???   Ademas insiste, no es facil conducir bajo estas condiciones de 🌂 lluvia  y  entender en el cockpit lo que quieren decirme.\ Lotterer ex piloto Audi supercar hibr. https://t.co/oOx0FGbaHF",0,39325,fede
Culia la primera vez que iba a salir en el año y llueve,1,103388,fede
Se viene la tormenta. Sin luz. Calor insoportable. Mosquitos por docenas. Me quiero morir.,0,104403,fede
lluvia¡¡¡,0,44020,fede
Lluvia querida 😍,1,80487,fede
"@BubbIa__ @patussok @LasHeteras @marupink @exsetero @CRAlS2017 @YoCasto Una vez , cuando era chica,  entró una centella a la cocina... impactó en la canilla de la cocina, fue un resplandor impresionante..el rayo habia caido en un árbol del jardin",0,69782,fede
"aunque yo me oculte tras la montaña y encuentre un campo lleno de caña, no habrá manera mi rayo de luna que tú te vayas",0,39560,fede
Que linda la lluvia solo me falta compañía y estaríamos 🤗♥️,1,34156,fede
@GabyAnabel23 no me puedo dormir solo con esta lluvia 😪,1,31546,fede
Lluvia??? Oh si!! Mis oídos tienen un orgasmo 🙈,1,81245,fede
avisame si falla el rayo,0,74374,fede
"Que lindo dormir con el chongo y la lluvia de fondo, lastima que me falta el chongo",0,16189,fede
@Gamuza37721090 Lluvia a pleno. Buen día,1,68845,fede
@araaSca Anoche amagaron y esta mañana hasta recién también ! Pero por suerte tenemos ! Pero llueve mucho ! 😐,1,770,fede
Llueve?¿???¿¿?¿,0,107948,fede
Está anunciado lluvia para toda la semana llega a llover el sábado y me muero no sé 🙍,0,69193,fede
Truenos de mierda🙄,1,14757,fede
Lluvia metele nomas😍😍,0,30122,fede
Si llueve va ser una siesta perfecta para mi🙏,0,105215,fede
Se presta la lluvia para dormir acompañada,1,61221,fede
Cosa hermosa las tormentas 😍,0,81572,fede
Seguro llueve,0,104269,fede
"Dicen pobre Uruguay (por la tormenta)...
Pero........ ⤵️ https://t.co/qXxdD3GPAn",0,92724,fede
Que lindo dormir con lluvia ❤,1,56687,fede
Que linda lluvia loco😍😍😍,1,8892,fede
Ya no me gustan mas los dias nublados y con lluvia nanana mansa depre loco,0,17035,fede
q lindo dormir con lluvia señor,1,77925,fede
lluvia y a jugar.... https://t.co/arsC6sIJHo,0,57005,fede
"Me anote p natación,  alpedo siempre llueve cuando voy.  Petiton triunfando",0,92740,fede
"lo rápido que se organizaron mis amigas para venir a desayunar al centro, ni la tormenta las paró, o la tormenta es por culpa de ellas...",0,96323,fede
Cocinamos con Ulises y llueve 🤦,1,54571,fede
Buen fútbol en la lluvia ⚽️,0,84642,fede
@MussoRamiro @kiki_oliva Demostrá que no solo servís para colgar la tornado😂,0,58519,fede
Y la lluvia pa cuando?,0,8881,fede
"Antes odiaba los dias de lluvia, ahora los amo con todo mi ser! 
Que lindo martes bebé!!",0,68194,fede
"el pronóstico de mañana a la mañana da lluvia, pero con la suerte que tengo seguro sale alto sol",0,32824,fede
Linda lluvia para dormir abrazados y yo sin vos,1,90540,fede
@SantiagoRossi45 Que facha el tornado lpm,0,11423,fede
Q lindo q llueve,1,80250,fede
Toda la semana un sol que raja la tierra pero llega el sabado que hay de todo y llueve como la concha de tu hermana,1,6574,fede
Yendo a consulta con esta lluvia deberían aprobarme solo por no quedarme durmiendo,1,65140,fede
"1. El chino, el mudo y Matías
2. Ir y volver caminando de mi casa al Kempes para ir a ver a Belgrano contra RAFAELA un lunes bajo la lluvia
3. Un 1-0 vs Velez en el torneo transición 2014 https://t.co/YPh1PdomOb",1,42235,fede
"""Ojalá me cruce con alguien que tenga tantas ganas de soñar como yo, que no mienta ni se mienta, que baile entre las tormentas.""",0,58464,fede
@jormax76 Y la lluvia? @emergenciasAR,0,107748,fede
Buscando las ganas de volver a pná con esta lluvia,0,30395,fede
"Lluvia ☔, lluvia ☔ y más lluvia ☔",1,1963,fede
traigan un paragua y algo para la lluvia también,1,90786,fede
Estoy acostada escuchando la lluvia únicamente y me parece perfecto,1,45135,fede
"en otros paises, los canales de noticias tienen tambien 4 camaras contando como se desarrolla una tormenta? durante 20 minutos?",0,10382,mechi
"La otra vez que vine a buenos aires un frío de cagarse la noche del sábado, el domingo en la cancha cagado de calor. Ahora lluvia todo hoy y posiblemente mañana también, nunca un día normal no ?",1,9679,mechi
Con esta lluvia está para estar de a 2,1,44215,mechi
Se copo la lluvia,1,24669,mechi
Hice esperar a mi mamá abajo en el rayo del sol para poder terminar de descargar la playlist del pepo porque #prioridades,0,108494,mechi
ay lluvia 😻,1,71775,mechi
Lluvia con sol en Rosario https://t.co/6q4SvPIaz0,1,10762,mechi
"Alguien me dice cuando va a llover ? Jajajaja 

Lluvia ya cansas",0,95012,mechi
"Ahora #Tiempo en #Rosario Barrio Centro 
Temp.: 28.2°C
Hum.: 23%
S.T.: 23.6°C
Pres..: 1000.6hPa
Viento: 18Km/h WNW
Lluvia hoy: 0.0mm",1,37887,mechi
"Ahora #Tiempo en #Rosario Barrio Centro 
Temp.: 33.6°C
Hum.: 37%
S.T.: 35.2°C
Pres..: 1003.3hPa
Viento: 4Km/h ESE
Lluvia hoy: 0.0mm",0,97352,mechi
Amo los días de lluvia ⛈️😊 https://t.co/bhntC0AZqQ,0,106093,mechi
"@marianita85 Nono... vino al grito de ""Leo, tu mujer me dijo que te avise una hora antes de que llegue la tormenta. Ya está en Casilda""

Juntamos todo, nos fuimos... y al llegar empezó a llover. Es el mejor vecino.",1,98629,mechi
@rubenmilito Y con lluvia,0,47725,mechi
Pequeño susto me pegue con el trueno😂,1,28272,mechi
"@Loiiiiiiii13 Rayos, me prestas un diccionario?",0,32161,mechi
"Qué ser despreciable soy, todos los días de lluvia pasa lo mismo",0,65464,mechi
me desperte con alta tormenta nananana me enamoré,1,45852,mechi
Donde esta la lluvia que decían que iba a haber hoy???? Me niego a jugar con este calor 🤦,0,9336,mechi
"El clima en Rosario: mesa adentro el 31, anuncian lluvias hasta el 2 de enero https://t.co/hh9GnbiHGh vía @rosariotres",0,103411,mechi
"Belén Perezlindo, encargada del área de Comunicación de la Biblioteca Popular del Paraná, indicó que el lunes por la mañana, al llegar los... https://t.co/mrsHQArqoI",0,36940,mechi
"Yo veo ami perros asustados por esta tormenta , y me baja una tristeza por los perros y mascotas q estan en la calle💔",1,65983,mechi
Lo que odio de Córdoba es la lluvia y las inundaciones mamita querida que horrible,0,30839,mechi
"Datos actuales en #SantaFe
Barrio Colastiné Norte:
T: 27.9°C
H: 58%
ST: 29.1°C
P: 1006.8hpa
Lluvia hoy: 22.5mm",0,107813,mechi
"@MalenaBong Con la lluvia que se viene,mm vs desis",0,101084,mechi
"Último día, último sábado, último fútbol, último mate, último tere, y ahora todos los mismo idiotas primer lluvia, primer día, primer cagó, no puedo ver más esa idiotez!!!",0,107864,mechi
"Hola acá en tabossi entre ríos no llueve pero refocila muchísimo, anoche tronaba pero no pasó nada y hoy tuvimos sol a pleno y mucho calor, en la zona del centro de entre ríos a echo desastre mucha piedra",1,73736,mechi
Buscando alguien para ver la lluvia de estrellas ahre,0,78799,mechi
"🚨 Violencia sin fin: mataron a tres personas en las últimas horas

👉 Una lluvia de balas que parece no acabar. Las víctimas fatales son un hombre de 35 años y dos jóvenes de 25 y 16 años. Todos murieron en episodios distintos

➡️ https://t.co/NxaglE1ZtB https://t.co/leoono9PZ4",0,54427,mechi
