MSJ;TAG;NUN;USER;WHO;msj_norm
Llueve pq Sebastian se levanto simpático😂😂;1;784.0;1898751019.0;;llueve pq sebastian levanto simpatico \U0001f602 \U0001f602 
@valenzampani Horrible todo. Por eso llueve así;0;28569.0;325544007.0;; horrible todo  eso llueve asi 
Mí padre dice que ahora se van a tener que poner a jugar. Yo mientras miro si se forma tormenta o no 😕;0;66936.0;314677780.0;;mi padre dice ahora van tener poner jugar  yo mientras miro si forma tormenta no  \U0001f615 
buena, que le pasaba al clima jajaja de donde salio esta lluvia?;1;56037.0;173566055.0;;buena  pasaba clima  donde salio lluvia  
Que onda?? Llueve, sale el sol, llueve, sale el sol. El tiempo está mas loco que yo.;0;19261.0;1.0550735844257219e+18;;que onda   llueve  sale sol  llueve  sale sol  tiempo mas loco yo  
Lo hermoso que son los días de lluvia;0;48705.0;2729244595.0;;lo hermoso dias lluvia 
Que vergüenza ver a otros humanos en bicicleta buscando refugio en plena tormenta... Que poca alma bicicletera;1;45177.0;2493652608.0;;que vergüenza ver otros humanos bicicleta buscando refugio plena tormenta    poca alma bicicletera 
Mi plan es dormirme escuchando los temas de fasciolo con el ruido de la lluvia de fondo y haciendo cucharita con mi gata;0;22643.0;1036326427.0;;mi plan dormirme escuchando temas fasciolo con ruido lluvia fondo haciendo cucharita con gata 
Como me hace mambear esta lluvia;1;74062.0;1325531328.0;;como hace mambear lluvia 
Estaría para q venga una re tormenta y q dure hasta mañana jajajajaja;0;108083.0;476751565.0;;estaria venga tormenta dure hasta mañana  
@alberto_rsaa Sin dudas usted gobernador querido es el mejor Piloto de tormentas !!!;0;58699.0;4654596022.0;; sin dudas usted gobernador querido mejor piloto tormentas     
En santa fe llueve?;1;109383.0;7.185585981718815e+17;;en santa fe llueve  
Adivinen quien se mojó?? Gracias tormenta;1;45202.0;2925711531.0;;adivinen quien mojo   gracias tormenta 
Me ha gustado un vídeo de @YouTube (https://t.co/y2adZVgXvD - **TEMPORADA 7** SE ACERCA UNA TORMENTA!!? FORTNITE: Battle Royale).;0;49227.0;225637990.0;;me gustado video       temporada     acerca tormenta    fortnite  battle royale   
recién me despierto de la siesta ...con esta lluvia quien no duerme , igual hubiera estado más piola si dormíamos la siesta juntos ahre;1;28392.0;4789789431.0;;recien despierto siesta    con lluvia quien no duerme   igual hubiera estado mas piola si dormiamos siesta juntos ahre 
Sos hermosa😍 — Abran los paraguas para la lluvia de datos https://t.co/VYXFOWRooI;0;44043.0;114093006.0;;sos hermosa \U0001f60d  \u2014 abran paraguas lluvia datos  
Netflix + lluvia = perfeccion;1;53927.0;7.689789458322842e+17;;netflix   lluvia   perfeccion 
@LuchoCabj101 Aaaaay si boludo,que tormenta horrible;1;101828.0;387255771.0;; aaaaay si boludo tormenta horrible 
me cansó la lluvia;0;53329.0;3557861955.0;;me canso lluvia 
Ojalá me pusiera mimosa... la lluvia me pone más gorda de lo que soy https://t.co/0EEk04CLD3;1;33924.0;8.97173699706708e+17;;ojala pusiera mimosa    lluvia pone mas gorda  
Que hermosa lluvia💕;1;63079.0;1.0069083155347988e+18;;que hermosa lluvia \U0001f495 
Vieron que en Córdoba hay gente estudiando las tormentas. Bueno, creo que con esta hacían la tesis;0;25043.0;174845709.0;;vieron cordoba hay gente estudiando tormentas  bueno  creo con hacian tesis 
No se , pero yo amo dormir con lluvia man;0;73126.0;8.725030971883889e+17;;no   pero yo amo dormir con lluvia man 
Que la lluvia pase de largooooo, quiero salir manga de forros;1;2449.0;4128217085.0;;que lluvia pase largooooo  quiero salir manga forros 
Se levantó tormenta de un rato a otro;1;101085.0;1394994690.0;;se levanto tormenta rato otro 
Salir al patio y escuchar los truenos en Dolby Surround 7.1 jajaja;1;93903.0;1898229852.0;;salir patio escuchar truenos dolby surround      
Lea en EstaciónPlus:Anuncian hasta 40° y más de 100 mm de lluvias en Entre Ríos este fin de año: Advierten por fenómenos meteorológicos de alto impacto en los próximos días. El 2019 empezará lluvioso. Mirá el informe especial para la provincia y la región https://t.co/u0PNOEPbIX https://t.co/kiRKECaYmS;0;104888.0;155414617.0;;lea estacionplus anuncian hasta    \  mas     lluvias entre rios fin año  advierten fenomenos meteorologicos alto impacto proximos dias       empezara lluvioso  mira informe especial provincia region   
Encima q lindo andar bajo la lluvia 😍😍😍😍 q feo el calor del departamento 😭😭😭😭;0;3311.0;163288842.0;;encima lindo andar bajo lluvia  \U0001f60d \U0001f60d \U0001f60d \U0001f60d feo calor departamento  \U0001f62d \U0001f62d \U0001f62d \U0001f62d 
Uno de los placeres de la vida... Dormir mientras llueve💞;1;57153.0;9.929354499236086e+17;;uno placeres vida    dormir mientras llueve \U0001f49e 
Hay que dormir nomas dice la lluvia;1;53134.0;2523799765.0;;hay dormir nomas dice lluvia 
"@Fernandofr333 @Apuntes_ El video es otro tema, porque depende de la complejidad que quiera darle al archivo. Si son sólo fotos o si son videos.

Mañana paso data porque estoy bajo tormenta de LPM y se corta la luz q cada rato... https://t.co/J6ti4cHrRV";0;78139.0;214095125.0;;  video otro tema  porque depende complejidad quiera darle archivo  si solo fotos si videos  mañana paso data porque estoy bajo tormenta lpm corta luz cada rato     
@camilasanchezn Es el uno , cuando wos , cacha , trueno, etc. Estaban en el quinto el y Dtoke ya estaban en la red bulls Inter. Una bestia jaja;0;42242.0;317460740.0;; uno   cuando wos   cacha   trueno  etc  estaban quinto dtoke ya estaban red bulls inter  bestia  
Que ganas de hacer cucharita con mi wacho con esta lluvia;1;8498.0;2290248326.0;;que ganas hacer cucharita con wacho con lluvia 
Ya sabemos que llueve, manga de forros;1;65075.0;250420639.0;;ya sabemos llueve  manga forros 
re xxl la lluvia;1;87802.0;2606772085.0;;re xxl lluvia 
"Venia del gym en plena tormenta re relajada, me cruza un hombre y me dice ""corre que se vienen las piedras"" cai en que podía ser posible y empecé a correr jajajajajaja";0;92671.0;1.0407148435888415e+18;;venia gym plena tormenta relajada  cruza hombre dice  corre vienen piedras  cai podia ser posible empece correr  
Por fin lluvia hdp;1;104979.0;1.045533306622808e+18;;por fin lluvia hdp 
tengo ganas de salir a bicicletear pero viendo sus fotos y vídeos de piedras y lluvia me dio miedo. Es su culpa jeje ahre;0;82308.0;971044506.0;;tengo ganas salir bicicletear pero viendo fotos videos piedras lluvia dio miedo  culpa jeje ahre 
Dormi lindo che, te extrañaba lluvia!!;0;68561.0;2828957934.0;;dormi lindo che  extrañaba lluvia   
El miedo que le agarre a las tormentas de noche 😓;0;90869.0;2787954204.0;;el miedo agarre tormentas noche  \U0001f613 
Vete de aquí tormenta.;1;55054.0;902783910.0;;vete aqui tormenta  
Y llegó la tan ansiada lluvia 😀;1;100512.0;7.416633939799777e+17;;y llego tan ansiada lluvia  \U0001f600 
Alguien está escuchando esos truenos?;1;1413.0;215351211.0;;alguien escuchando esos truenos  
Se ve que la tormenta fue copada porque Tiro el árbol locoooooo;0;70632.0;1106701843.0;;se ve tormenta fue copada porque tiro arbol locoooooo 
a una hora de ir a trabajar, y llueve como locos en camilo aldao!;1;16815.0;1548933828.0;;a hora ir trabajar  llueve como locos camilo aldao  
Mi viejo que cae un rayo y corta la luz;0;28975.0;7.057478780488745e+17;;mi viejo cae rayo corta luz 
"Haganse el favor de salir a mirar el cielo, que belleza.
Casi no se ve la lluvia de estrellas, pero igual el cielo esta lleno";0;72240.0;1594012142.0;;haganse favor salir mirar cielo  belleza  casi no ve lluvia estrellas  pero igual cielo lleno 
Los días de lluvia😍;0;51043.0;1.0504862452672594e+18;;los dias lluvia \U0001f60d 
Ancohe me desperté por un rayo y lo primero que pensé fue OIGAN MUCHAHO ECUCHARON EL REMPALAGO??? Tengo la mente matada ya;0;109617.0;3133582910.0;;ancohe desperte rayo primero pense fue oigan muchaho ecucharon rempalago    tengo mente matada ya 
Se larga la lluvia. Fijar este tuit https://t.co/beFY90qKxK;0;92684.0;1140877034.0;;se larga lluvia  fijar tuit  
No sé a mi la lluvia no me motiva para nada a estudiar, solo quiero dormir;1;86344.0;504591561.0;;no lluvia no motiva nada estudiar  solo quiero dormir 
Estamos en una época en que nos chupa un huevo el otro, donde sólo nos importa cagarnos en el esfuerzo que hacen, en su persona y NOS CHUPA UN HUEVO cómo se sienta, si total, yo estoy bien, el resto... que lo parta un rayo;0;57855.0;475926369.0;;estamos epoca nos chupa huevo otro  donde solo nos importa cagarnos esfuerzo hacen  persona nos chupa huevo como sienta  si total  yo estoy bien  resto    parta rayo 
si llueve ya saben porque es, estoy yendo al colegio;0;57913.0;8.986841723567677e+17;;si llueve ya saben porque  estoy yendo colegio 
DATO DE LLUVIA CAÍDA EN GUALEGUAY  53;0;70412.0;152794904.0;;dato lluvia caida gualeguay    
@Flawless_swan Ssssshhh deja la lluvia tranquila para los que vamos a dormir siesta 😝;1;93625.0;1290241550.0;; ssssshhh deja lluvia tranquila vamos dormir siesta  \U0001f61d 
Ta para desmayarse con esta lluvia;1;43590.0;3751842268.0;;ta desmayarse con lluvia 
Amo ver cómo están las canchas con la lluvia para mi es admirable ver cómo con tanta lluvia algunos campos están impecables;0;7722.0;160260580.0;;amo ver como estan canchas con lluvia admirable ver como con tanta lluvia algunos campos estan impecables 
como no te cae un rayo en la cabeza la re concha de tu madre https://t.co/XxZHS9BqZ1;0;32423.0;9.610950335827722e+17;;como no cae rayo cabeza concha madre  
"🌧 La imagen satelital de esta mañana del @SMN_Argentina muestra un gran frente de tormenta que abarca el sur de Santa Fe, la provincia de Entre Rios y el noreste de la provincia de Buenos Aires.

☀ Clima despejado para el resto de las zonas productoras.

» (1/2) https://t.co/LhujSXJgdE";0;64804.0;9.011598375177052e+17;; \U0001f327 imagen satelital mañana  muestra gran frente tormenta abarca sur santa fe  provincia entre rios noreste provincia buenos aires   \u2600 clima despejado resto zonas productoras           
Ya veo que se va a largar a llover o cuando salga de mi casa o cuando este volviendo, porque la lluvia me odiaaa🤦🏼;0;79060.0;2157934748.0;;ya veo va largar llover cuando salga casa cuando volviendo  porque lluvia odiaaa \U0001f926 \U0001f3fc 
Que ganas de estar con mi vida viendo peliculas mientras escuchando como llueve;0;106362.0;1.0337764809820652e+18;;que ganas estar con vida viendo peliculas mientras escuchando como llueve 
Ay esta lluvia que no quiere parar che 🙉;1;66411.0;1708725482.0;;ay lluvia no quiere parar che  \U0001f649 
Ke lluvia re culiadaw;0;53354.0;2361734430.0;;ke lluvia culiadaw 
"Un hermoso día el de hoy! 
Ay! Qué bello día es hoy! 
está para desatar nuestra tormenta 
que va a tronar por el dolor.";0;13720.0;1279088815.0;;un hermoso dia hoy  ay  bello dia hoy  desatar nuestra tormenta va tronar dolor  
Maldigo las veredas hechas mierdas en momentos de lluvia 😠😑;0;29890.0;8.994599764140237e+17;;maldigo veredas hechas mierdas momentos lluvia  \U0001f620 \U0001f611 
@danielamachuca es que ESTAMOS BRASIL. Llueve con el calor a 30 grados y el SOL mirándote así 🌝;0;93442.0;1.0431308778432594e+18;; estamos brasil  llueve con calor    grados sol mirandote asi  \U0001f31d 
Para que anduve en la klx ahora tengo ganas de prenderla fuego a la tornado;0;60441.0;4911269385.0;;para anduve klx ahora tengo ganas prenderla fuego tornado 
@GabyObelar1 @LaCabalaRadio Seguro?  Tormenta eléctrica...;0;27270.0;192925930.0;;  seguro  tormenta electrica    
Lluvia y la re calcada concha de tu madre 😤😭;1;8280.0;800309526.0;;lluvia calcada concha madre  \U0001f624 \U0001f62d 
Pedido solidario para afectados por las lluvias https://t.co/D0skY9PhQl;0;30109.0;8.006988545468948e+17;;pedido solidario afectados lluvias  
@AyeRiveroo Es porque en un rato llega la tormenta de facha a Paraná !;0;72202.0;3409510917.0;; porque rato llega tormenta facha parana   
Quiero escuchar la tormenta abrazada a vos;0;37134.0;3365966309.0;;quiero escuchar tormenta abrazada 
Domingo de lluvia y bajón. Por mí que arranque el lunes en media hora. Ya fue todo.;1;1631.0;178221154.0;;domingo lluvia bajon  arranque lunes media hora  ya fue todo  
Si la lluvia llega hasta aquí, voy a limitarme a vivir;0;10170.0;1473073656.0;;si lluvia llega hasta aqui  voy limitarme vivir 
Tremenda tormenta de la madrugada y ahora un sol que parte la tierra, esto es San Luis;0;16475.0;9.661790780081234e+17;;tremenda tormenta madrugada ahora sol parte tierra  esto san luis 
Tendría que estar yendo a buscar la ropa de mi promo,pero estoy caminando bajo la lluvia..;1;79146.0;9.53369158774911e+17;;tendria estar yendo buscar ropa promo pero estoy caminando bajo lluvia   
Trueno v2.0. 2fast2furious. https://t.co/FpS7klRbZo;0;19231.0;1.0070854002535219e+18;;trueno v      fast furious   
Si se puede jugar! Hubo ya una final con lluvia en esa cancha! Por las dudas les recuerdo quien fue el campeón.. #FinalCopaLibertadores #BocavsRiver #CONMEBOLLibertadores @CANOBoficial #EstudioFutbol @TyCSports #LAMEJORFINALenSC https://t.co/ykThUhG0Tl;0;8666.0;18529178.0;;si puede jugar  hubo ya final con lluvia esa cancha  dudas recuerdo quien fue campeon    finalcopalibertadores  bocavsriver  conmebollibertadores   estudiofutbol   lamejorfinalensc  
Si llueve ahora por lo menos espero que mañana este nublado, no aguanto el calor😒;0;87129.0;7.769145179179254e+17;;si llueve ahora menos espero mañana nublado  no aguanto calor \U0001f612 
@J1M1NCUTE @clau4805 @BTS_twt Frio😊 lluvia💖 azul😱 celular🤗 solteras😂 @BTS_twt #MTVEMABiggestFansBTS;0;17573.0;9.715612390244065e+17;;   frio \U0001f60a lluvia \U0001f496 azul \U0001f631 celular \U0001f917 solteras \U0001f602   mtvemabiggestfansbts 
"Aerolíneas-La lluvia.(Según San Idiota) 
Confirmado : Jacques Cousteau era de La Cámpora.";0;23371.0;208444174.0;;aerolineas lluvia  segun san idiota  confirmado   jacques cousteau era campora  
Queria ir a la pileta, llueve. Empece a ver una serie, se corta la luz;0;109218.0;2466507266.0;;queria ir pileta  llueve  empece ver serie  corta luz 
@FraancoMiletich Jajajajajajaja es que últimamente la lluvia ni tiempo a nada se larga con todo nomas;0;92793.0;7.16744445996245e+17;;  ultimamente lluvia ni tiempo nada larga con todo nomas 
Quiero alguien para pasar los días de lluvia;0;40350.0;1342820342.0;;quiero alguien pasar dias lluvia 
Chica la tormenta;0;72655.0;2321069891.0;;chica tormenta 
LLUVIA DE MI VIDA TE AMO CON TODO MI CORAZÓN, GRACIAS MUNDO;1;77965.0;1.0627839523044352e+18;;lluvia vida amo con todo corazon  gracias mundo 
Que linda lluvia😍;1;107314.0;9.500986796706734e+17;;que linda lluvia \U0001f60d 
@LautiMarchese Jajaja encima llueve a balde!;0;51882.0;1606125590.0;;  encima llueve balde  
Lo único que voy a ver a las 2 de la mañana es la tormenta que se está viniendo;0;76107.0;9.679921293929062e+17;;lo unico voy ver   mañana tormenta viniendo 
De nuevo está lloviendo, siempre arruinando mis planes la lluvia de mierda;1;93092.0;7.692626345081528e+17;;de nuevo lloviendo  siempre arruinando mis planes lluvia mierda 
Rayos 😔;0;47959.0;3149742053.0;;rayos  \U0001f614 
"En la vida real le tengo miedo a los truenos. 
Así estoy . https://t.co/eCs5wgupHv";0;14882.0;252779279.0;;en vida real tengo miedo truenos  asi estoy    
Le puli los rayos y todo, bastante la turra;0;105845.0;9.105101498523689e+17;;le puli rayos todo  bastante turra 
dormir con lluvia♥ que maravilla;1;17103.0;397430605.0;;dormir con lluvia \u2665 maravilla 
Llueve por qué gano Belgrano ?🤔;1;18907.0;165889339.0;;llueve gano belgrano   \U0001f914 
Como loco si llueve;1;14225.0;8.537244188745032e+17;;como loco si llueve 
Llueve!! BARADEL en el Tigre en la asamblea d suteba. Espero q tenga q salir haciendo perrito por el río!!!! Y encima se va a tener q bañar!!!!🤣🤣🤣;0;46006.0;8.513092478874419e+17;;llueve   baradel tigre asamblea suteba  espero tenga salir haciendo perrito rio     encima va tener bañar     \U0001f923 \U0001f923 \U0001f923 
Encima cuando quiero que llueva en temporada de escuela no llueve, alta leche la mía😂💔;0;80831.0;1738283010.0;;encima cuando quiero llueva temporada escuela no llueve  alta leche mia \U0001f602 \U0001f494 
"Las intensas lluvias generaron una creciente de casi siete metros en el río San Antonio

El agua ingresa con mucha fuerza en el cauce de los ríos serranos, luego de varios días de lluvia que afectan a la región. Se recomienda acatar las órdenes de Defensa Civil, no intentar … https://t.co/HF7XhF8atm";0;38454.0;1240003063.0;;las intensas lluvias generaron creciente casi siete metros rio san antonio agua ingresa con mucha fuerza cauce rios serranos  luego varios dias lluvia afectan region  recomienda acatar ordenes defensa civil  no intentar  \u2026  
@LuddVeron Que hermoso es dormir bajo la lluvia ahre se re enfermaba;0;31676.0;9.244958482134917e+17;; hermoso dormir bajo lluvia ahre enfermaba 
los truenos me estan dando alto miedo caen re cercaaaa;1;75946.0;3183961683.0;;los truenos estan dando alto miedo caen cercaaaa 
Quien necesita un chongo con este clima, si lo tengo a mi gato que le tiene miedo a la tormenta, entonces se me acuesta encima 💕;0;14168.0;1658228131.0;;quien necesita chongo con clima  si tengo gato tiene miedo tormenta  entonces acuesta encima  \U0001f495 
@marinavibu609g @MolaschiClara @Cristin97215062 @SuttoraM @tantumanita @RobertoGranai @Rossana7336 @dianafalcione69 @AlteaFerrari @pulce_mm @lillagranata2 ¡Gracias Marina! Es un día especial: hay truenos,lluvia y también sol,todo junto al mismo tiempo..Hermoso en verdad...Feliz atardecer/noche para todos ustedes... https://t.co/5aMsdxGDQC;1;93544.0;2451850093.0;;           gracias marina  dia especial  hay truenos lluvia tambien sol todo junto mismo tiempo  hermoso verdad   feliz atardecer noche todos ustedes     
No es un día de lluvia si no pisas 20 baldosas flojas...;0;58851.0;350968418.0;;no dia lluvia si no pisas    baldosas flojas    
@NanuLepra74 Estoy esperando la lluvia ..;0;5787.0;714394188.0;; estoy esperando lluvia    
me dan miedo las tormentas y más cuando se corta la luz :(;0;72318.0;1321040442.0;;me dan miedo tormentas mas cuando corta luz    
Vieron qué hay familias que se ponen contentas cuando gana una copa su equipo de futbol? Bueno, en mi casa andan así de contentos cuando llueve.;0;105226.0;166797312.0;;vieron hay familias ponen contentas cuando gana copa equipo futbol  bueno  casa andan asi contentos cuando llueve  
Imágenes: Después de las intensas lluvias así quedaron las barrancas en Diamante - - https://t.co/KejGduVWpB lo que no dice el diario que en 2004 se abandono el proyecto de estabilizacion de barrancas, solo se ejecuto en la zona del puerto de ultramar https://t.co/q0vfr5QdZH;1;38134.0;2352210584.0;;imagenes  despues intensas lluvias asi quedaron barrancas diamante      no dice diario      abandono proyecto estabilizacion barrancas  solo ejecuto zona puerto ultramar  
Llueve poqui;1;34033.0;2214877952.0;;llueve poqui 
Verlo a Agusin anoche llegar mojado y despeinado por la lluvia hizo que se me cayeran las babas😻;1;90263.0;2276818238.0;;verlo agusin anoche llegar mojado despeinado lluvia hizo cayeran babas \U0001f63b 
@AgustinH06 La 704 cuando amanecía el día después de la lluvia;0;39320.0;7.924363341787628e+17;;     cuando amanecia dia despues lluvia 
Mirar al cielo con la insistencia suficiente para que el primer rayo de una gran tormenta impacte en tus ojos.;0;102848.0;1.0781093322801029e+18;agus;mirar cielo con insistencia suficiente primer rayo gran tormenta impacte tus ojos  
Lluvia hasta cuando😡;1;52596.0;1.0114013629601546e+18;agus;lluvia hasta cuando \U0001f621 
No hay como el mirar fútbol cuando llueve y estando en casa 💧☁🏡👌⚽;1;58973.0;2240218584.0;agus;no hay como mirar futbol cuando llueve estando casa  \U0001f4a7 \u2601 \U0001f3e1 \U0001f44c \u26bd 
Que hermosa tormenta!!!!;1;48470.0;482271617.0;agus;que hermosa tormenta     
Esa lluvia pa dormir ❤;0;83901.0;186253980.0;fede;esa lluvia pa dormir  \u2764 
⚠️ OJO!! Me avisa @piedradari3 que “entro a S.Luis severa tormenta con granizo de17200mts d alrura esta sobre la ruta 7 y atencion q puede llegar a su ciudad y hacer daño si sigue asi”;0;103259.0;153630820.0;fede; \u26a0  ojo   avisa   \u201centro luis severa tormenta con granizo     mts alrura sobre ruta   atencion puede llegar ciudad hacer daño si sigue asi \u201d 
@xyxlxnm Re dormí mal amiga flashe lluvia;0;55597.0;147040245.0;fede; dormi mal amiga flashe lluvia 
encima que llueve estoy a pata, el embole en su máxima expresión;1;85277.0;9.951777458680996e+17;fede;encima llueve estoy pata  embole maxima expresion 
desenchufen a su abuelo que hay tormenta!;1;106330.0;1.0247878124224307e+18;fede;desenchufen abuelo hay tormenta  
Esta lluvia esta ideal para cenar unos fideo con salsa.;1;81709.0;137841345.0;fede;esta lluvia ideal cenar unos fideo con salsa  
Como llueve, que orgazmo escuchar y sentir esto 😍;1;25330.0;822061670.0;fede;como llueve  orgazmo escuchar sentir esto  \U0001f60d 
@marti_cavallo Esa calle me traumo de chica un día de lluvia sorry;0;29280.0;2338530840.0;fede; esa calle traumo chica dia lluvia sorry 
Me levanté para ir a clases y pum se largó una tormenta jsksjsj saludos desde mi cama 👋;1;30919.0;1.0320604273148436e+18;fede;me levante ir clases pum largo tormenta jsksjsj saludos desde cama  \U0001f44b 
La lluvia es pa cucharear;0;13668.0;911722910.0;fede;la lluvia pa cucharear 
Real que estoy entre mirar un capítulo de mi serie y dormir, o seguir pintando xq con esta lluvia😍😍😍;1;68186.0;1.0592895375857869e+18;fede;real estoy entre mirar capitulo serie dormir  seguir pintando con lluvia \U0001f60d \U0001f60d \U0001f60d 
Me agarro toda la lluvia en bici lpm;0;107510.0;8.815327499155743e+17;fede;me agarro toda lluvia bici lpm 
"Hoy hace 123 años, un tipo de 50 años, que habia sido expulsado de la secundaria por haber hecho una caricatura de un profesor, y que tuvo que irse a otro pais para conseguir un titulo, estaba haciendo unos experimentos cuando accidentalmente descubrió los rayos X.
#2ndChances";0;2488.0;7.466843687568015e+17;fede;hoy hace     años  tipo    años  habia sido expulsado secundaria haber hecho caricatura profesor  tuvo irse otro pais conseguir titulo  estaba haciendo unos experimentos cuando accidentalmente descubrio rayos    ndchances 
El olor a lluvia 😍;0;105773.0;1.0407344525053051e+18;fede;el olor lluvia  \U0001f60d 
@GimenaJofre3 Vas a mojarte con la lluvia?;1;54438.0;2561347658.0;fede; vas mojarte con lluvia  
Tengo que rendir un final y está TODOOOO INUNDADO, LA SUERTE QUE MANEJO TE LA REGALO 😒;1;86301.0;1.0517850391580877e+18;fede;tengo rendir final todoooo inundado  suerte manejo regalo  \U0001f612 
con esta lluvia tendría que estar durmiendo, pero estoy en particular;1;63375.0;1.0489804144702464e+18;fede;con lluvia tendria estar durmiendo  pero estoy particular 
Se ve que algunos accionistas también se comieron el viaje de la lluvia de inversiones, del mejor equipo de los 50 años, de que como no vamos a controlamos la inflacion, etc...El problema es que gran parte de nuestra deuda está en dólares. Moneda la maneja el gran titiritero. https://t.co/Lp4YOz9TfL;0;83053.0;1.0309580632542044e+18;fede;se ve algunos accionistas tambien comieron viaje lluvia inversiones  mejor equipo    años  como no vamos controlamos inflacion  etc   problema gran parte nuestra deuda dolares  moneda maneja gran titiritero   
@glaveanton @BossPeppers El avión va por arriba de la tormenta .No te asustes .😊🤗;0;16610.0;3507840497.0;fede;  avion va arriba tormenta  no asustes   \U0001f60a \U0001f917 
"#SuperLiga
#Patronato
La Ruda bajo agua.
Las mismas que estuvieron en el empate ante #Union en el 15 de Abril, hoy están bajo la lluvia en el ingreso al vestuario del Patrón.
@maurogaggino https://t.co/1rlnV15vcF";0;15727.0;362249930.0;fede; superliga  patronato ruda bajo agua  mismas estuvieron empate  union    abril  hoy estan bajo lluvia ingreso vestuario patron    
No trabajo y llueve, trabajo y hay un sol espectacular para ir a una pile. Que bien mi vida..;0;105022.0;220472585.0;fede;no trabajo llueve  trabajo hay sol espectacular ir pile  bien vida   
Lluvia matessss, con la mejor compañía 👵💓;0;47236.0;1.0012932977536532e+18;fede;lluvia matessss  con mejor compañia  \U0001f475 \U0001f493 
"Cuándo voy a madurar y dejar de tenerle miedo a los tormentas?
Hola insomio 👋";0;4066.0;340535689.0;fede;cuando voy madurar dejar tenerle miedo tormentas  hola insomio  \U0001f44b 
que linda lluvia, estoy esperando que me parta un rayo;1;84306.0;8.743904342478356e+17;fede;que linda lluvia  estoy esperando parta rayo 
Hernan me habló para hacer algo,como amo que mi amigo me hable los sábados pa activarmelos ,pero llueve a bocha 🤦;1;4968.0;2271167190.0;fede;hernan hablo hacer algo como amo amigo hable sabados pa activarmelos  pero llueve bocha  \U0001f926 
Tremenda lluvia para estar acostada pero no.. estoy en la esc para no quedarme libre;1;30614.0;3011677355.0;fede;tremenda lluvia estar acostada pero no   estoy esc no quedarme libre 
Lluvia del orrrrto;1;104831.0;8.709423864441733e+17;fede;lluvia orrrrto 
Que lluvia hdp;1;8351.0;1.0473185340266168e+18;fede;que lluvia hdp 
Linda lluvia, viene chanta para las canchitas 😌;1;81585.0;325294342.0;fede;linda lluvia  viene chanta canchitas  \U0001f60c 
Vamos que hoy llueve🙏 https://t.co/aAvYKBBUE1;1;91543.0;872313943.0;fede;vamos hoy llueve \U0001f64f  
Que tormenta del orto con q necesidad a verrrrrr;1;65043.0;4128217085.0;fede;que tormenta orto con necesidad verrrrrr 
No llueve en todo el finde.. ¿Cuando va a llover? Justo para año nueno. ACUERDENSEN;0;105393.0;1.0680265474943672e+18;fede;no llueve todo finde   cuando va llover  justo año nueno  acuerdensen 
